#	Name	Symbol	Market Cap	Price	Circulating Supply	Volume (24h)	% 1h	% 24h	% 7d
1	Bitcoin Bitcoin	BTC	$109,221,170,204	$6377.87	17,125,022	$4,329,018,274	0.01%	-0.18%	6.61%
2	Ethereum Ethereum	ETH	$45,584,874,181	$453.98	100,412,052	$1,401,705,283	0.08%	0.63%	-0.07%
3	XRP XRP	XRP	$18,005,373,483	$0.458594	39,262,097,329 *	$304,091,528	-0.04%	-1.99%	-2.62%
4	Bitcoin Cash Bitcoin Cash	BCH	$12,708,687,096	$738.32	17,212,897	$607,524,980	0.04%	-1.36%	3.26%
5	EOS EOS	EOS	$7,211,307,163	$8.05	896,149,492 *	$720,214,320	0.01%	0.46%	5.13%
6	Litecoin Litecoin	LTC	$4,594,033,393	$80.30	57,212,111	$279,443,639	-0.02%	-1.97%	1.75%
7	Stellar Stellar	XLM	$3,645,118,635	$0.194298	18,760,438,885 *	$43,538,174	0.21%	-0.83%	2.08%
8	Cardano Cardano	ADA	$3,545,505,830	$0.136749	25,927,070,538 *	$85,034,081	0.35%	2.67%	5.50%
9	IOTA IOTA	MIOTA	$2,833,538,257	$1.02	2,779,530,283 *	$44,779,143	0.39%	1.73%	4.54%
10	Tether Tether	USDT	$2,705,091,364	$0.999243	2,707,140,346 *	$2,639,539,372	0.00%	-0.37%	-0.51%
11	TRON TRON	TRX	$2,474,017,663	$0.037629	65,748,111,645 *	$149,512,389	-0.09%	-2.15%	-9.42%
12	Monero Monero	XMR	$2,116,464,962	$130.78	16,183,054	$34,244,088	0.07%	0.82%	16.20%
13	NEO NEO	NEO	$1,977,033,821	$30.42	65,000,000 *	$71,381,850	0.02%	-1.78%	-5.77%
14	Dash Dash	DASH	$1,923,880,320	$235.67	8,163,467	$89,909,103	-0.05%	-2.22%	0.15%
15	Binance Coin Binance Coin	BNB	$1,648,497,026	$14.46	114,041,290 *	$46,690,779	-0.05%	-1.58%	-0.35%
16	Ethereum Classic Ethereum Classic	ETC	$1,637,748,661	$15.95	102,694,524	$216,983,208	0.02%	-1.33%	14.22%
17	NEM NEM	XEM	$1,470,047,312	$0.163339	8,999,999,999 *	$16,620,124	0.13%	2.22%	6.39%
18	VeChain VeChain	VEN	$1,448,931,658	$2.62	551,983,747 *	$58,086,881	0.10%	-0.90%	2.89%
19	OmiseGO OmiseGO	OMG	$813,816,102	$7.98	102,042,552 *	$29,583,233	0.55%	7.21%	3.87%
20	Ontology Ontology	ONT	$780,513,599	$5.16	151,292,175 *	$75,692,883	-0.09%	-3.69%	12.46%
21	Qtum Qtum	QTUM	$759,274,974	$8.56	88,664,516 *	$231,734,535	0.24%	0.33%	2.78%
22	Zcash Zcash	ZEC	$706,856,894	$166.08	4,255,995	$40,848,008	0.02%	-0.16%	1.49%
23	ICON ICON	ICX	$627,376,958	$1.62	387,431,340 *	$40,376,562	0.69%	3.00%	-1.43%
24	Lisk Lisk	LSK	$578,687,468	$5.38	107,511,221 *	$6,057,393	0.10%	2.44%	-0.47%
25	Bytecoin Bytecoin	BCN	$545,389,565	$0.002966	183,890,481,254	$14,922,639	0.12%	1.49%	13.66%
26	Zilliqa Zilliqa	ZIL	$544,011,296	$0.071808	7,575,893,444 *	$53,283,957	-0.05%	3.40%	15.28%
27	Decred Decred	DCR	$476,453,595	$66.68	7,145,743	$2,458,004	0.21%	-2.69%	-1.77%
28	Aeternity Aeternity	AE	$450,743,651	$1.93	233,020,472 *	$6,919,090	0.07%	2.39%	8.45%
29	Bitcoin Gold Bitcoin Gold	BTG	$446,887,980	$26.14	17,097,439	$10,663,568	0.16%	0.96%	8.60%
30	Steem Steem	STEEM	$439,854,749	$1.65	265,956,738 *	$19,613,010	0.83%	22.78%	30.38%
31	0x 0x	ZRX	$408,456,834	$0.766151	533,128,467 *	$21,411,191	-0.10%	4.24%	15.26%
32	Augur Augur	REP	$388,557,765	$35.32	11,000,000 *	$4,407,405	-0.15%	3.25%	19.59%
33	Siacoin Siacoin	SC	$372,828,068	$0.010534	35,391,938,431	$11,750,002	-0.09%	0.15%	1.50%
34	Bytom Bytom	BTM	$370,243,324	$0.369320	1,002,499,275 *	$88,245,106	0.08%	0.38%	1.51%
35	BitShares BitShares	BTS	$368,281,521	$0.139632	2,637,516,250 *	$5,868,274	0.06%	0.77%	8.64%
